Day,Date,Market demand,ibis budget Sydney Airport,Felix Hotel Sydney Airport,ibis Sydney Airport,Travelodge Hotel Sydney Airport,Meriton Suites Mascot Central,Mantra Hotel at Sydney Airport,Quest Serviced Apartments Mascot,Adina Apartment Hotel Sydney Airport,Stamford Plaza Sydney Airport,ibis Budget - St Peters,Quality Hotel CKS Sydney Airport,P(0) Value,P(1) Value
Sun,4/19/19 17:35,62%,139,0,183,0,127,0,0,169,169,94,229,0.928888917,0.884444416
Mon,4/19/19 18:35,69%,143,0,179,179,187,0,0,229,369,84,229,0.946666658,0.902222216
Tue,4/19/19 19:35,74%,149,189,189,189,0,0,0,0,0,134,229,0.973333359,0.928888917
Wed,4/19/19 20:35,72%,149,220,189,169,227,225,189,0,269,134,229,0.222222224,0.177777782
Thu,4/19/19 21:35,74%,149,239,189,0,207,0,185,0,309,94,254,0.973333359,0.928888917
Fri,4/19/19 22:35,72%,139,229,144,159,167,175,155,229,219,94,209,0.288888901,0.244444445
Sat,4/19/19 23:35,82%,149,275,164,159,187,175,160,199,239,134,189,0.266666681,0.222222224
Sun,4/20/19 0:35,66%,129,183,144,149,147,175,150,169,189,84,179,0.48888889,0.400000006
Mon,4/20/19 1:35,67%,139,201,134,152,167,160,165,179,199,84,179,0.666666687,0.577777803
Tue,4/20/19 2:35,68%,139,201,144,143,187,189,199,199,189,134,209,0.293333322,0.248888895
Wed,4/20/19 3:35,65%,139,211,144,152,187,175,199,199,199,134,179,0.288888901,0.244444445
Thu,4/20/19 4:35,63%,129,199,134,143,167,149,165,169,189,94,179,0.288888901,0.244444445
Fri,4/20/19 5:35,72%,149,199,134,134,147,149,169,189,179,94,159,0.377777785,0.333333343
Sat,4/20/19 6:35,76%,129,199,134,134,167,160,169,189,219,134,209,0.288888901,0.244444445
Sun,4/20/19 7:35,70%,119,199,124,125,147,139,165,189,169,94,159,0.288888901,0.244444445
Mon,4/20/19 8:35,64%,129,179,134,134,167,149,145,189,179,94,159,0.288888901,0.244444445
Tue,4/20/19 9:35,65%,129,189,134,125,167,149,155,169,159,134,159,0.328888893,0.284444451
Wed,4/20/19 10:35,66%,129,189,134,125,167,149,160,169,159,104,179,0.328888893,0.284444451
Thu,4/20/19 11:35,65%,139,174,124,125,167,149,145,169,159,84,189,0.377777785,0.333333343
Fri,4/20/19 12:35,68%,139,174,124,143,147,149,145,189,179,94,189,0.283333331,0.25
Sat,4/20/19 13:35,69%,108,189,134,134,167,149,145,189,179,104,179,0.146666661,0.113333337
Sun,4/20/19 14:35,65%,118,189,124,125,127,149,139,159,179,84,189,0.213333338,0.180000007
Mon,4/20/19 15:35,65%,118,189,134,143,167,160,145,169,189,84,189,0.180000007,0.146666661
Tue,4/20/19 16:35,68%,128,189,144,161,187,189,180,199,249,94,239,0.180000007,0.146666661
Wed,4/20/19 17:35,71%,118,155,144,152,187,175,210,199,269,94,209,0.195555553,0.151111111
Thu,4/20/19 18:35,70%,139,159,144,152,167,160,195,179,259,84,189,0.288888901,0.244444445
Fri,4/20/19 19:35,70%,118,146,134,143,147,160,180,179,239,84,189,0.239999995,0.195555553
Sat,4/20/19 20:35,72%,128,155,134,143,167,160,195,189,199,94,189,0.284444451,0.239999995
Sun,4/20/19 21:35,68%,118,169,124,134,127,160,179,159,209,84,169,0.284444451,0.239999995
Mon,4/20/19 22:35,67%,128,169,134,134,167,175,195,189,219,84,199,0.284444451,0.239999995
Tue,4/20/19 23:35,69%,128,155,144,152,187,160,210,199,219,94,199,0.239999995,0.195555553
Wed,4/21/19 0:35,69%,138,169,154,152,187,175,210,199,249,94,209,0.49777779,0.408888876
Thu,4/21/19 1:35,68%,128,169,154,152,167,160,195,179,219,84,199,0.408888876,0.319999993
Fri,4/21/19 2:35,69%,128,155,144,143,147,160,180,179,189,84,179,0.244444445,0.200000003
Sat,4/21/19 3:35,70%,118,146,134,134,167,160,195,189,189,94,189,0.239999995,0.195555553
Sun,4/21/19 4:35,69%,118,159,134,134,127,160,179,159,199,84,169,0.271111101,0.226666674
Mon,4/21/19 5:35,69%,149,165,134,152,167,175,195,189,229,84,199,0.377777785,0.333333343
Tue,4/21/19 6:35,71%,138,179,154,161,187,175,210,199,259,94,199,0.239999995,0.195555553
Wed,4/21/19 7:35,71%,138,179,154,161,187,175,210,199,279,94,209,0.239999995,0.195555553
Thu,4/21/19 8:35,71%,149,165,154,152,167,149,195,179,259,84,189,0.311111122,0.266666681
Fri,4/21/19 9:35,71%,149,179,144,143,147,160,180,179,189,94,179,0.337777764,0.293333322
Sat,4/21/19 10:35,74%,149,169,134,134,167,160,195,189,219,104,179,0.377777785,0.333333343
Sun,4/21/19 11:35,69%,118,169,134,134,127,160,179,159,209,84,169,0.271111101,0.226666674
Mon,4/21/19 12:35,71%,128,179,134,143,167,175,195,199,309,94,199,0.213333338,0.180000007
Tue,4/21/19 13:35,71%,128,165,154,152,187,189,210,199,359,104,229,0.153333336,0.119999997
Wed,4/21/19 14:35,,138,179,154,152,187,198,210,199,379,104,239,0.186666667,0.153333336
Thu,4/21/19 15:35,,128,179,134,152,167,175,195,179,269,104,189,0.213333338,0.180000007
Fri,4/21/19 16:35,,118,169,124,143,147,160,180,179,189,129,179,0.213333338,0.180000007
Sat,4/21/19 17:35,,118,169,124,143,167,160,195,189,199,139,179,0.284444451,0.239999995
Sun,4/21/19 18:35,,118,155,124,143,127,160,179,159,219,84,179,0.284444451,0.239999995
Mon,4/21/19 19:35,,128,174,134,134,167,175,195,189,239,94,199,0.284444451,0.239999995
Tue,4/21/19 20:35,,128,174,144,152,187,175,210,199,259,104,199,0.239999995,0.195555553
Wed,4/21/19 21:35,,138,174,144,152,187,175,210,199,279,104,209,0.284444451,0.239999995
Thu,4/21/19 22:35,,128,189,134,152,167,175,195,179,259,94,199,0.284444451,0.239999995
Fri,4/21/19 23:35,,118,169,124,143,147,160,180,179,189,129,179,0.284444451,0.239999995
Sat,4/22/19 0:35,,128,192,134,139,167,160,190,189,189,139,189,0.568888903,0.479999989
Sun,4/22/19 1:35,,118,165,124,139,127,160,180,159,229,94,189,0.568888903,0.479999989
Mon,4/22/19 2:35,,118,189,134,149,147,175,199,179,219,104,189,0.239999995,0.195555553
Tue,4/22/19 3:35,,128,189,124,159,167,175,205,199,249,104,189,0.328888893,0.284444451
Wed,4/22/19 4:35,,128,189,124,159,167,189,205,199,259,104,189,0.328888893,0.284444451
Thu,4/22/19 5:35,,118,174,134,149,167,175,199,189,259,94,189,0.239999995,0.195555553
Fri,4/22/19 6:35,,128,155,134,149,147,160,190,179,249,104,189,0.284444451,0.239999995
Sat,4/22/19 7:35,,118,209,124,139,167,160,190,189,199,114,189,0.284444451,0.239999995
Sun,4/22/19 8:35,,118,165,124,139,147,160,180,159,219,94,189,0.284444451,0.239999995
Mon,4/22/19 9:35,,118,174,124,139,127,160,199,179,219,94,189,0.284444451,0.239999995
Tue,4/22/19 10:35,,128,174,124,159,167,175,205,199,239,104,189,0.328888893,0.284444451
Wed,4/22/19 11:35,,128,189,124,159,167,175,205,199,249,104,189,0.328888893,0.284444451
Thu,4/22/19 12:35,,118,174,134,149,167,175,199,189,239,94,189,0.180000007,0.146666661
Fri,4/22/19 13:35,,118,155,134,149,147,160,190,179,189,104,189,0.180000007,0.146666661
Sat,4/22/19 14:35,,128,192,124,139,167,160,190,189,199,104,189,0.24666667,0.213333338
Sun,4/22/19 15:35,,118,179,124,139,127,160,180,159,229,84,189,0.213333338,0.180000007
Mon,4/22/19 16:35,,118,189,134,149,147,175,199,179,219,84,189,0.180000007,0.146666661
Tue,4/22/19 17:35,,128,189,124,159,167,175,205,199,259,94,189,0.328888893,0.284444451
Wed,4/22/19 18:35,,128,174,124,159,167,189,205,199,249,94,219,0.328888893,0.284444451
Thu,4/22/19 19:35,,118,189,134,149,147,175,199,189,249,84,209,0.239999995,0.195555553
Fri,4/22/19 20:35,,118,169,134,149,147,160,190,179,189,84,199,0.239999995,0.195555553
Sat,4/22/19 21:35,,128,192,124,139,167,175,190,189,199,94,199,0.328888893,0.284444451
Sun,4/22/19 22:35,,118,165,124,139,127,160,180,159,249,84,199,0.284444451,0.239999995
Mon,4/22/19 23:35,,118,174,134,149,147,175,199,179,219,84,209,0.239999995,0.195555553
Tue,4/23/19 0:35,,118,174,124,159,147,189,205,199,239,94,229,0.568888903,0.479999989
Wed,4/23/19 1:35,,118,189,124,159,147,189,205,199,249,94,229,0.568888903,0.479999989
Thu,4/23/19 2:35,,118,189,134,149,147,175,199,189,229,84,209,0.239999995,0.195555553
Fri,4/23/19 3:35,,118,169,134,149,147,160,190,179,189,134,199,0.239999995,0.195555553
Sat,4/23/19 4:35,,118,209,124,139,167,175,190,189,209,94,199,0.284444451,0.239999995
Sun,4/23/19 5:35,,118,179,124,139,127,160,180,159,239,84,199,0.284444451,0.239999995
Mon,4/23/19 6:35,,118,165,134,149,147,160,220,179,219,84,229,0.239999995,0.195555553
Tue,4/23/19 7:35,,128,209,134,159,167,189,220,199,259,104,229,0.284444451,0.239999995
Wed,4/23/19 8:35,,128,209,134,159,167,198,220,199,259,104,229,0.284444451,0.239999995
Thu,4/23/19 9:35,,128,209,134,149,147,198,220,189,249,104,229,0.284444451,0.239999995
Fri,4/23/19 10:35,,118,165,134,159,147,160,200,179,189,104,209,0.239999995,0.195555553
Sat,4/23/19 11:35,,118,199,124,139,167,189,200,189,229,114,229,0.284444451,0.239999995
